street,city,state,zip,sales
3001 Interstate 27,Lubbock,TX,79404-2137,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
3001 N Washington St,Grand Forks,ND,58203-1225,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
3001 Saint Louis Ave,Fort Worth,TX,76110-4106,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
30014 GOVERNOR GC PEERY HWY,NORTH TAZEWELL,VA,24630,"{'status': {'version': '1.0.0', 'code': 210, 'msg': 'Geocoder Results Address Not Identified.', 'total': 0, 'page': 0, 'pagesize': 0}}"
3003 S College Ave,Fort Collins,CO,80525-2535,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 18447779308069, 'fips': '08069', 'apn': 'R1035878', 'apnOrig': 'R1035878', 'attomId': 184477793}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '1', 'lotsize1': 1.8587, 'lotsize2': 80965, 'pooltype': 'NONE'}, 'area': {'blockNum': '38', 'countrysecsubd': 'Larimer County', 'countyuse1': '2223', 'muncode': 'LA', 'munname': 'LARIMER', 'srvyRange': '69', 'srvySection': '26', 'srvyTownship': '07', 'subdname': 'CARROLL ED VOLKSWAGEN AUDI PUD', 'subdtractnum': '0', 'taxcodearea': '1100'}, 'address': {'country': 'US', 'countrySubd': 'CO', 'line1': '3003 S COLLEGE AVE', 'line2': 'FORT COLLINS, CO 80525', 'locality': 'Fort Collins', 'matchCode': 'ExaStr', 'oneLine': '3003 S COLLEGE AVE, FORT COLLINS, CO 80525', 'postal1': '80525', 'postal2': '2535', 'postal3': 'C041'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '40.546888', 'longitude': '-105.077490', 'distance': 0.0, 'geoid': 'CO08069, CS0891330, DB0803990, MT30001583, PL0827425, SB0000075981, SB0000075986, SB0000075989, SB0000076001, ZI80525'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Commercial', 'propsubtype': 'COMMERCIAL', 'proptype': 'COMMON AREA', 'yearbuilt': 1968, 'propLandUse': 'COMMON AREA', 'propIndicator': '20'}, 'utilities': {'coolingtype': 'TYPE UNKNOWN', 'energyType': 'AVAILABLE', 'heatingtype': 'PACKAGE'}, 'building': {'size': {'bldgsize': 22389, 'grosssize': 22389, 'grosssizeadjusted': 22389, 'groundfloorsize': 0, 'livingsize': 22389, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 22389}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'condition': 'AVERAGE', 'constructiontype': 'MASONRY', 'frameType': 'MASONRY'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 10, 'bldgType': 'COMMERCIAL', 'imprType': 'COMMERCIAL', 'levels': 1, 'mobileHomeInd': ' ', 'quality': 'EXCELLENT', 'storyDesc': 'COMMERCIAL', 'unitsCount': '2', 'yearbuilteffective': 1992}}, 'vintage': {'lastModified': '2018-1-27', 'pubDate': '2018-1-27'}, 'salehistory': [{'salesearchdate': '2005-5-13', 'saleTransDate': '2005-5-13', 'amount': {'saleamt': 0, 'salerecdate': '2005-11-1', 'saledisclosuretype': 0, 'saledocnum': '0000093211', 'saletranstype': 'Nominal - Non/Arms Length Sale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000094955', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000040902', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
301 4TH ST,WAYNESBORO,VA,22980,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
301 BULLDOG DR  ,CHESAPEAKE,VA,23320,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 19766139951550, 'fips': '51550', 'apn': '0270000000361', 'attomId': 197661399}, 'lot': {'depth': 0, 'frontage': 0, 'lotsize1': 11.812, 'lotsize2': 514531}, 'area': {'countrysecsubd': 'Chesapeake city', 'muncode': 'CE', 'munname': 'CHESAPEAKE CITY', 'subdname': 'COMMERCIAL'}, 'address': {'country': 'US', 'countrySubd': 'VA', 'line1': '301 BULLDOG DR', 'line2': 'CHESAPEAKE, VA 23320', 'locality': 'Chesapeake', 'matchCode': 'ExaStr', 'oneLine': '301 BULLDOG DR, CHESAPEAKE, VA 23320', 'postal1': '23320', 'postal2': '4507', 'postal3': 'C051'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '36.769972', 'longitude': '-76.258218', 'distance': 0.0, 'geoid': 'CO51550, CS5190812, DB5100810, MT30003845, ND0000131832, PL5116000, SB0000125713, SB0000125716, SB0000125717, SB0000125731, ZI23320'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Commercial', 'proptype': 'COMMERCIAL/INDUSTRIAL', 'yearbuilt': 1971, 'propLandUse': 'COMMERCIAL/INDUSTRIAL', 'propIndicator': '20'}, 'utilities': {'coolingtype': 'TYPE UNKNOWN', 'heatingtype': 'FORCED AIR', 'watertype': 'Commercial'}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 27420, 'groundfloorsize': 0, 'livingsize': 27420, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': -1, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'wallType': 'ALUMINUM/VINYL'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 1, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
301 EAST STREET                                    ,CLAYTON,DE,19938,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 22097793810001, 'fips': '10001', 'apn': '30401806015800000', 'apnOrig': '30401806015800000', 'attomId': 220977938}, 'lot': {'depth': 0, 'frontage': 0, 'lotsize1': 2.8, 'lotsize2': 121968, 'pooltype': 'NONE'}, 'area': {'countrysecsubd': 'Kent County', 'countyuse1': 'COM', 'muncode': 'KE', 'munname': 'KENT', 'subdtractnum': '0', 'taxcodearea': '4'}, 'address': {'country': 'US', 'countrySubd': 'DE', 'line1': '301 EAST ST', 'line2': 'CLAYTON, DE 19938', 'locality': 'Clayton', 'matchCode': 'ExaStr', 'oneLine': '301 EAST ST, CLAYTON, DE 19938', 'postal1': '19938', 'postal2': '7707', 'postal3': 'R777'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '39.292116', 'longitude': '-75.635102', 'distance': 0.0, 'geoid': 'CO10001, CS1093700, DB1001620, MT30001363, ND0004442487, PL1015440, SB0000077305, SB0000077308, SB0000077309, SB0000077311, ZI19938'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Commercial', 'propsubtype': 'COMMERCIAL', 'proptype': 'COMMON AREA', 'yearbuilt': 1960, 'propLandUse': 'COMMON AREA', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'frameType': 'TYPE UNKNOWN'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'bldgType': 'COMMERCIAL', 'imprType': 'COMMERCIAL', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'COMMERCIAL', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'salesearchdate': '2013-12-20', 'saleTransDate': '2013-12-20', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000248597', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
301 N 5th St,Fredonia,KS,66736-1222,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 29537426720205, 'fips': '20205', 'apn': '141-12-0-30-23-010.00-0', 'attomId': 295374267}, 'lot': {'depth': 1700, 'frontage': 1810, 'lotnum': '1-3', 'lotsize1': 0.7064, 'lotsize2': 30770}, 'area': {'blockNum': '19', 'countrysecsubd': 'Wilson County', 'countyuse1': '2620', 'subdname': 'FREDONIA'}, 'address': {'country': 'US', 'countrySubd': 'KS', 'line1': '301 N 5TH ST', 'line2': 'FREDONIA, KS 66736', 'locality': 'Fredonia', 'matchCode': 'ExaStr', 'oneLine': '301 N 5TH ST, FREDONIA, KS 66736', 'postal1': '66736', 'postal2': '1222', 'postal3': 'C001'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '37.532559', 'longitude': '-95.829713', 'distance': 0.0, 'geoid': 'CO20205, CS2024575, DB2006270, PL2024575, SB0000087960, SB0000087961, SB0000087962, ZI66736'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Industrial Heavy', 'proptype': 'HEAVY INDUSTRIAL', 'yearbuilt': 1936, 'propLandUse': 'HEAVY INDUSTRIAL', 'propIndicator': '52'}, 'utilities': {'coolingtype': 'TYPE UNKNOWN', 'heatingtype': 'SPACE', 'watertype': 'Commercial'}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 11520, 'groundfloorsize': 10200, 'livingsize': 11520, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': -1, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'wallType': 'CONCRETE BLOCK'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 4, 'levels': 2, 'mobileHomeInd': ' ', 'unitsCount': '1', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
301 San Augustine St,Center,TX,75935-3937,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
