street,city,state,zip,sales
205 MARY ANN DR,BRANDON,MS,39042,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
2248 186TH ST,LANSING,IL,60438,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 24506657417031, 'fips': '17031', 'apn': '29364021170000', 'apnOrig': '29364021170000', 'attomId': 245066574}, 'lot': {'depth': 0, 'frontage': 0, 'lotsize1': 0.0, 'lotsize2': 0, 'pooltype': 'NONE'}, 'area': {'blockNum': '19', 'countrysecsubd': 'Cook County', 'muncode': 'CO', 'munname': 'COOK', 'srvyRange': '14E', 'srvySection': '36', 'srvyTownship': '36N', 'subdtractnum': '0', 'taxcodearea': '0'}, 'address': {'country': 'US', 'countrySubd': 'IL', 'line1': '2248 186TH ST', 'line2': 'LANSING, IL 60438', 'locality': 'Lansing', 'matchCode': 'ExaStr', 'oneLine': '2248 186TH ST, LANSING, IL 60438', 'postal1': '60438', 'postal2': '2641', 'postal3': 'C010'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '41.557577', 'longitude': '-87.561738', 'distance': 0.0, 'geoid': 'CO17031, CS1775198, DB1722020, DB1738940, MT30001048, PL1742028, RS0000157355, SB0000086157, SB0000132064, SB0000132065, SB0000132067, ZI60438'}, 'summary': {'propclass': 'Exempt', 'propsubtype': 'RESIDENTIAL', 'proptype': 'PUBLIC (NEC)', 'yearbuilt': 0, 'propLandUse': 'PUBLIC (NEC)', 'propIndicator': '90'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'bldgType': 'TYPE UNKNOWN', 'imprType': 'RESIDENTIAL', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'TYPE UNKNOWN', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'salesearchdate': '2016-8-19', 'saleTransDate': '2016-8-19', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '1625834078', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2016-7-6', 'saleTransDate': '2016-7-6', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '1620739122', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2009-11-24', 'saleTransDate': '2009-11-24', 'amount': {'saleamt': 0, 'salerecdate': '2009-12-8', 'saledisclosuretype': 0, 'saledocnum': '0934208345', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
825 W ROGERS BLVD,SKIATOOK,OK,74070,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
1403 N 3RD ST,DARDANELLE,AR,72834,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
127 ELLIS LANE,WINNSBORO,LA,71295,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
20820 WESTERN AVE,OLYMPIA FIELDS,IL,60461,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
337 E FIRST ST,FOREST,MS,39074,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
8720 368TH AVENUE,TWIN LAKES,WI,53181,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 18693582155059, 'fips': '55059', 'apn': '8541191621121', 'apnOrig': '8541191621121', 'attomId': 186935821}, 'lot': {'depth': 454, 'frontage': 529, 'lotnum': '1120', 'lotsize1': 5.51, 'lotsize2': 240016, 'pooltype': 'NONE'}, 'area': {'countrysecsubd': 'Kenosha County', 'muncode': 'KE', 'munname': 'KENOSHA', 'srvyRange': '19E', 'srvySection': '16', 'srvyTownship': '01N', 'subdtractnum': '0', 'taxcodearea': '186'}, 'address': {'country': 'US', 'countrySubd': 'WI', 'line1': '8720 368TH AVE', 'line2': 'TWIN LAKES, WI 53181', 'locality': 'Twin Lakes', 'matchCode': 'ExaStr', 'oneLine': '8720 368TH AVE, TWIN LAKES, WI 53181', 'postal1': '53181', 'postal2': '8907', 'postal3': 'R084'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '42.548085', 'longitude': '-88.256147', 'distance': 0.0, 'geoid': 'CO55059, CS5566125, DB5512390, DB5516770, SB0000130129, SB0000130480, ZI53105'}, 'summary': {'propsubtype': 'HOUSE', 'proptype': 'TYPE UNKNOWN', 'yearbuilt': 0, 'propLandUse': 'TYPE UNKNOWN', 'propIndicator': '0'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'frameType': 'TYPE UNKNOWN'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'bldgType': 'HOUSE', 'imprType': 'HOUSE', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'HOUSE', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-10-26', 'pubDate': '2018-10-26'}, 'salehistory': [{'salesearchdate': '2018-7-27', 'saleTransDate': '2018-7-27', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0001825695', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
13107 STATE HIGHWAY 30,COLLEGE STATION,TX,77845,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
145 WYNDALE DR,PRINCETON,WV,24739,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
2189 GARDEN WAY,FREEPORT,PA,16229,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
515 KUNDERT ST,TURTLE LAKE,ND,58575,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
1957 B STREET,OROVILLE,CA,95966,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
501 N LAKESHORE DR,LAKE VILLAGE,AR,71653,"{'status': {'version': '1.0.0', 'code': 212, 'msg': 'Success without results. No data available for this address.', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
115 S MARENGO AVE,ALHAMBRA,CA,91801,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
2724 W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40212,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
222 S WASHINGTON ST,BASTROP,LA,71220,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
